strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
BRF2-001,market_rv_24h,Discovery,LOW,102,53,41,8,0,94,0.5638297872340425,0.43617021276595747,0.1276595744680851,1.6738861386138613,-1.4661172161172162,405.0
BRF2-001,market_rv_24h,Discovery,MID,105,42,54,9,0,96,0.4375,0.5625,-0.125,1.2758620689655171,-1.4390243902439024,300.0
BRF2-001,market_rv_24h,Discovery,HIGH,91,50,28,13,0,78,0.6410256410256411,0.358974358974359,0.28205128205128205,1.7307692307692308,-0.9428571428571428,315.0
BRF2-001,market_rv_24h,Holdout,LOW,35,10,24,1,0,34,0.29411764705882354,0.7058823529411765,-0.4117647058823529,1.7,-3.1572327044025155,142.5
BRF2-001,market_rv_24h,Holdout,MID,39,21,17,1,0,38,0.5526315789473685,0.4473684210526316,0.10526315789473684,1.3670886075949369,-5.185393258426966,382.5
BRF2-001,market_rv_24h,Holdout,HIGH,241,125,93,23,0,218,0.573394495412844,0.42660550458715596,0.14678899082568808,2.0285714285714285,-1.294478527607362,270.0
BRF2-001,market_rv_24h,Full,LOW,137,63,65,9,0,128,0.4921875,0.5078125,-0.015625,1.7,-1.6666666666666665,322.5
BRF2-001,market_rv_24h,Full,MID,144,63,71,10,0,134,0.4701492537313433,0.5298507462686567,-0.05970149253731343,1.3333333333333333,-1.9366946778711487,352.5
BRF2-001,market_rv_24h,Full,HIGH,332,175,121,36,0,296,0.5912162162162162,0.40878378378378377,0.18243243243243243,1.9827991452991451,-1.192774193548387,270.0
BRF2-001,market_return_24h,Discovery,LOW,140,54,63,23,0,117,0.46153846153846156,0.5384615384615384,-0.07692307692307693,1.1825570423743352,-1.4015786082474226,450.0
BRF2-001,market_return_24h,Discovery,MID,72,32,38,2,0,70,0.45714285714285713,0.5428571428571428,-0.08571428571428572,1.4912967161559276,-1.6666666666666665,232.5
BRF2-001,market_return_24h,Discovery,HIGH,86,59,22,5,0,81,0.7283950617283951,0.2716049382716049,0.4567901234567901,2.170938215102975,-0.9112533692722371,285.0
BRF2-001,market_return_24h,Holdout,LOW,151,70,60,21,0,130,0.5384615384615384,0.46153846153846156,0.07692307692307693,1.407608695652174,-1.625,367.5
BRF2-001,market_return_24h,Holdout,MID,56,31,21,4,0,52,0.5961538461538461,0.40384615384615385,0.19230769230769232,1.8452380952380953,-2.2534722222222223,315.0
BRF2-001,market_return_24h,Holdout,HIGH,108,55,53,0,0,108,0.5092592592592593,0.49074074074074076,0.018518518518518517,3.567714930880652,-1.508901515151515,165.0
BRF2-001,market_return_24h,Full,LOW,291,124,123,44,0,247,0.5020242914979757,0.4979757085020243,0.004048582995951417,1.2152777777777777,-1.5238095238095237,405.0
BRF2-001,market_return_24h,Full,MID,128,63,59,6,0,122,0.5163934426229508,0.48360655737704916,0.03278688524590164,1.734702797202797,-1.9092068645640075,315.0
BRF2-001,market_return_24h,Full,HIGH,194,114,75,5,0,189,0.6031746031746031,0.3968253968253968,0.20634920634920634,2.857357057177129,-1.2621993127147766,195.0
CPM-RO-001,cross_sectional_dispersion_24h,Discovery,LOW,126,51,59,16,0,110,0.4636363636363636,0.5363636363636364,-0.07272727272727272,0.9611713883865782,-1.0956592386258124,570.0
CPM-RO-001,cross_sectional_dispersion_24h,Discovery,MID,125,38,38,49,0,76,0.5,0.5,0.0,0.6944444444444444,-0.7159090909090909,900.0
CPM-RO-001,cross_sectional_dispersion_24h,Discovery,HIGH,110,28,44,38,0,72,0.3888888888888889,0.6111111111111112,-0.2222222222222222,0.48521059874784356,-0.9045721874407133,1155.0
